year,report_code,corp_code,corp_name,stock_code,corp_cls,auditor_raw,auditor_group,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_opinion,revenue,revenue_account,revenue_fs_div,source_rcept_no,warnings
2023,11011,00844936,BNK캐피탈,,E,한영회계법인,ey_hanyoung,339000000,339000000,3160,3073,,,,,20240329002946,
2023,11011,00251400,BNK투자증권,,E,한영회계법인,ey_hanyoung,328000000,328000000,2950,2884,,,,,20240314000713,
2023,11011,01766741,CaptivisionInc.,,E,"CKP,LLP",other_or_unknown,327500000,327500000,,,,,,,20240510000383,
2023,11011,00168933,DB생명보험,,E,한영회계법인,ey_hanyoung,693000000,693000000,5200,5126,,,,,20240430000694,
2023,11011,00229058,DB캐피탈,,E,대주회계법인,other_or_unknown,69000000,69000000,925,980,,,,,20240401002694,
2023,11011,01004775,DL에너지,,E,삼일회계법인,samil_pwc,180000000,180000000,1250,1330,,,,,20240313001629,
2023,11011,01524817,DL케미칼,,E,삼일회계법인,samil_pwc,500000000,500000000,3500,3471,,,,,20240314001542,
2023,11011,00903503,GS에너지,,E,안진회계법인,deloitte_anjin,340000000,340000000,3340,3533,,,,,20240319000883,
2023,11011,00165459,GS칼텍스,,E,삼정회계법인,samjong_kpmg,1130000000,1130000000,11250,10905,,,,,20240401003454,
2023,11011,00325185,GS파워,,E,안진회계법인,deloitte_anjin,182000000,182000000,1656,1656,,,,,20240322000991,
2023,11011,00120216,KB손해보험,002550,E,삼일회계법인,samil_pwc,2456000000,2456000000,18680,19036,,,,,20240430000217,
2023,11011,00683283,LS전선,,E,한영회계법인,ey_hanyoung,500000000,500000000,5200,5240,,,,,20240320000026,
2023,11011,00908155,NH농협손해보험,,E,안진회계법인,deloitte_anjin,498465000,498465000,4500,5018,,,,,20240430000212,
2023,11011,00779845,OCI스페셜티,,E,삼정회계법인,samjong_kpmg,63000000,63000000,610,610,,,,,20240401000953,
2023,11011,00938688,SBI핀테크솔루션즈,950110,E,안진회계법인,deloitte_anjin,25000000,25000000,1986,1864,,,,,20230629000113,
2023,11011,00138020,SK실트론,,E,한영회계법인,ey_hanyoung,420000000,420000000,4200,4151,,,,,20240329002433,
2023,11011,00852175,SK에너지,,E,삼정 회계법인,samjong_kpmg,1039000000,1039000000,9443,9631,,,,,20240320000705,
2023,11011,00979074,SK인천석유화학,,E,삼정회계법인,samjong_kpmg,540000000,540000000,4909,4960,,,,,20240320001050,
2023,11011,00941549,강남터미널지하쇼핑몰,,E,신한회계법인,other_or_unknown,20000000,20000000,-1,338,,,,,20240318000073,
2023,11011,00100656,강원일보,,E,신한회계법인,other_or_unknown,20000000,20000000,,243,,,,,20240329002878,
2023,11011,00685333,강원특별자치도민프로축구단,,E,동서회계법인,other_or_unknown,14300000,14300000,,175,,,,,20240329003522,
2023,11011,00334040,갤럭시게이트,,E,다산회계법인,other_or_unknown,3000000,3000000,36,36,,,,,20240326000797,
2023,11011,00101257,경남기업,000800,E,동아송강회계법인,other_or_unknown,90000000,90000000,,1036,,,,,20240329001867,
2023,11011,00543170,경남도민프로축구단,,E,김상현,other_or_unknown,10800000,10800000,112,112,,,,,20240329003671,
2023,11011,00413444,경주신라컨트리클럽,,E,회계법인선일,other_or_unknown,12000000,12000000,394,394,,,,,20240328000582,
2023,11011,00102399,경향신문사,,E,태인회계법인,other_or_unknown,35000000,35000000,312,312,,,,,20240401000310,
2023,11011,00560308,골든블루,,E,신우회계법인,other_or_unknown,60000000,60000000,911,911,,,,,20240401003121,
2023,11011,00764807,골프존클라우드,183410,E,대주회계법인,other_or_unknown,54000000,54000000,784,719,,,,,20240321000946,
2023,11011,00438708,곰앤컴퍼니,,E,정진세림회계법인,other_or_unknown,30000000,30000000,300,303,,,,,20240329003098,
2023,11011,00103635,광림,014200,E,동현 회계법인,other_or_unknown,300000000,300000000,2000,1909,,,,,20240319000827,
2023,11011,01028164,광주은행,192530,E,삼일회계법인,samil_pwc,660000000,660000000,5607,5188,,,,,20240320001526,
2023,11011,01620713,교보12호기업인수목적,421800,E,대주회계법인,other_or_unknown,10000000,10000000,,60,,,,,20240325000103,
2023,11011,01677678,교보13호기업인수목적,440790,E,이정회계법인,other_or_unknown,15000000,15000000,58,58,,,,,20240304000300,
2023,11011,01760640,교보14호기업인수목적,456490,E,서우회계법인,other_or_unknown,10000000,10000000,40,72,,,,,20240304000266,
2023,11011,00112882,교보생명보험,,E,삼일회계법인,samil_pwc,3000000000,3000000000,22500,22500,,,,,20240430000629,
2023,11011,01181232,구골홀딩스,,E,성현회계법인,other_or_unknown,25000000,25000000,212,237,,,,,20240912000507,
2023,11011,00386937,국민은행,060000,E,삼일회계법인,samil_pwc,3796000000,3796000000,36200,1513210689,,,,,20240814004195,
2023,11011,00104519,국보,001140,E,삼정회계법인,samjong_kpmg,370000000,370000000,2189,2189,,,,,20240321001955,
2023,11011,00116073,그린기술투자,025340,E,삼덕회계법인,other_or_unknown,5000000,5000000,30,30,,,,,20240401001728,
2023,11011,00105165,극동전선,006250,E,삼일회계법인,samil_pwc,95000000,95000000,950,871,,,,,20240327001071,
2023,11011,01016983,글로텍,,E,우리회계법인,other_or_unknown,90000000,90000000,1051,1019,,,,,20240401004502,
2023,11011,00106720,기흥관광개발,,E,대현회계법인,other_or_unknown,47000000,47000000,618,618,,,,,20240329002536,
2023,11011,00874797,길교이앤씨,456700,E,신한회계법인,other_or_unknown,18000000,18000000,,356,,,,,20240321000284,
2023,11011,01267550,나라소프트,288490,E,신우회계법인,other_or_unknown,48000000,48000000,456,456,,,,,20240326000666,
2023,11011,00939289,나래에너지서비스,,E,삼일회계법인,samil_pwc,58000000,58000000,464,578,,,,,20240401002883,
2023,11011,00425254,나우코스,257990,E,신우회계법인,other_or_unknown,52000000,52000000,582,582,,,,,20240321001203,
2023,11011,00368515,내일신문,,E,우리회계법인,other_or_unknown,2800000,2800000,483,483,,,,,20240326000397,
2023,11011,00652779,네오바이오텍,,E,동현회계법인,other_or_unknown,90000000,90000000,754,754,,,,,20240329001602,
2023,11011,00359766,네오슈테른테크놀로지,,E,정진회계법인,other_or_unknown,5000000,,10,5,,,,,20240401002503,
2023,11011,00815086,네이처리퍼블릭,,E,한영회계법인,ey_hanyoung,160000000,160000000,1300,1425,,,,,20240409003286,
2023,11011,00977696,넥스쳐,194510,E,삼덕회계법인,other_or_unknown,100000000,100000000,700,669,,,,,20240329002562,
2023,11011,01119244,넥스콘테크놀러지,,E,기 현대회계법인,other_or_unknown,,,,,,,,,20240329000772,
2023,11011,00261975,넥스트솔루션,,E,신한회계법인,other_or_unknown,20000000,20000000,386,386,,,,,20240401004452,
2023,11011,00935821,넷마블네오,,E,삼일회계법인,samil_pwc,200000000,200000000,1400,1393,,,,,20240329002464,
2023,11011,01082834,노무라인터내셔널펀딩피티이,,E,,other_or_unknown,,,,,,,,,20230728000383,document_fields_unresolved
2023,11011,00852096,노바셀테크놀로지,,E,삼정회계법인,samjong_kpmg,85000000,85000000,800,800,,,,,20240321001202,
2023,11011,01332137,노보믹스,283100,E,동아송강회계법인,other_or_unknown,80000000,80000000,675,876,,,,,20240405002002,
2023,11011,00536329,노블엠앤비,106520,E,광교회계법인,other_or_unknown,286000000,286000000,1909,2487,,,,,20240531002500,
2023,11011,00393469,메티스,065560,E,신한회계법인,other_or_unknown,240000000,240000000,1500,1525,,,,,20240322000012,
2023,11011,00637901,농업회사법인고창황토배기유통,,E,일우회계법인,other_or_unknown,5000000,5000000,,44,,,,,20240401003725,
2023,11011,01578076,농업회사법인순천만가든마켓,,E,일우회계법인,other_or_unknown,7700000,7700000,103,103,,,,,20240401001928,
2023,11011,00711896,농업회사법인의령군토요애유통,,E,촉석공인회계사감사반,other_or_unknown,10000000,10000000,190,192,,,,,20240401001697,
2023,11011,00908021,농협금융지주,,E,안진회계법인,deloitte_anjin,550000000,550000000,5148,5360,,,,,20240329003569,
2023,11011,00909349,농협생명보험,,E,안진회계법인,deloitte_anjin,1337000000,1337000000,10520,10532,,,,,20240430000784,
2023,11011,00108302,뉴경기관광,,E,이정회계법인,other_or_unknown,36000000,36000000,636,636,,,,,20240329002518,
2023,11011,01352566,뉴라클사이언스,,E,삼일회계법인,samil_pwc,150000000,150000000,1000,869,,,,,20240401000859,
2023,11011,01399992,뉴라텍,,E,진일회계법인,other_or_unknown,55000000,55000000,704,707,,,,,20240329002700,
2023,11011,01134395,뉴스테이허브제1호위탁관리부동산투자회사,,E,한일회계법인,other_or_unknown,12000000,12000000,47,47,,,,,20240329000841,
2023,11011,00138695,뉴아세아,013340,E,이촌회계법인,other_or_unknown,40000000,40000000,449,449,,,,,20240401004360,
2023,11011,00108533,다산,,E,삼덕회계법인,other_or_unknown,40000000,40000000,630,630,,,,,20240429001331,
2023,11011,01174223,다인바이오,,E,대성삼경회계법인,other_or_unknown,,,,,,,,,20240329001346,
2023,11011,00130046,다함이텍,009280,E,신성회계법인,other_or_unknown,25000000,25000000,492,492,,,,,20240328000996,
2023,11011,00366298,대교홀딩스,,E,서우회계법인,other_or_unknown,100000000,100000000,798,961,,,,,20240401004181,
2023,11011,00427137,대구시민프로축구단,,E,세영회계법인,other_or_unknown,16500000,16500000,91,105,,,,,20240325000955,
2023,11011,00109107,대농,,E,안진회계법인,deloitte_anjin,120000000,120000000,1200,1140,,,,,20240329003065,
2023,11011,00916659,대덕바이오,,E,삼도회계법인,other_or_unknown,25000000,25000000,238,238,,,,,20240731000618,
2023,11011,00159768,대동모빌리티,,E,삼일회계법인,samil_pwc,95000000,125000000,864,1492,,,,,20240401001569,
2023,11011,00157104,대동전자,008110,E,삼덕회계법인,other_or_unknown,200000000,200000000,1200,1058,,,,,20230619000312,
