year,corp_code,corp_name,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_evidence_rcept_no,override_status,override_reason
2023,01042775,HL만도,980000000,989700000,9500,9426,20240516001059,source_verified,explicit_thousand_won
2023,01015160,PS일렉트로닉스,127000000,127000000,1427,1417,20240313000672,source_verified,explicit_eok
2023,00113359,교보증권,470000000,470000000,4700,4980,20250313000901,source_verified,next_filing_prior_row_and_component_sum
2023,00415558,대지개발,16000000,16000000,380,380,20240329003456,source_verified,explicit_man_won
2023,00172936,동일산업,245000000,245000000,2080,2155,20240322000958,source_verified,explicit_decimal_cheonman_won
2023,01336443,디와이씨,140000000,140000000,1350,1367,20240320000459,source_verified,explicit_eok
2023,01258507,롯데웰푸드,1070000000,1070000000,10200,9638,20240322000503,source_verified,table_unit_thousand_won
2023,00126478,삼성중공업,1450000000,1450000000,14500,13317,20240315000850,source_verified,table_unit_eok
2023,00684918,아이비케이투자증권,352800000,352800000,3600,3356,20250331003294,source_verified,next_filing_prior_row_component_sum_million_won
2023,00254045,우리은행,3805000000,3805000000,33980,32390,20240326000240,source_verified,actual_hours_component_sum
2023,00927558,유바이오로직스,170000000,170000000,1450,1776,20240319000532,source_verified,explicit_eok
2023,00565154,이노션,6500000,6500000,5969,5971,20250318001237,source_verified,next_filing_prior_row_table_unit_million_won
2023,00475718,이엠앤아이,210000000,235000000,1800,1787,20240321001778,source_verified,explicit_composite_eok_and_cheonman
2023,00923899,참존글로벌,40000000,40000000,__NULL__,__NULL__,20241030000422,source_verified,explicit_cheonman_won
2023,01258428,프레스티지바이오로직스,140000000,140000000,1500,1500,20231114002183,source_verified,explicit_eok
2023,01363924,한국미라클피플사,40000000,40000000,500,500,20240321001923,source_verified,explicit_cheonman_won
2023,00135917,한화손해보험,1450000000,1450000000,11224,11414,20240430000147,source_verified,table_unit_thousand_won
2024,01042775,HL만도,900000000,985000000,9000,8618,20250326001216,source_verified,table_unit_million_won_after_note_removal
2024,01015160,PS일렉트로닉스,127000000,127000000,1363,1395,20250318000836,source_verified,explicit_eok
2024,00113359,교보증권,482000000,482000000,4700,5066,20250313000901,source_verified,table_unit_million_won_and_component_sum
2024,00106119,금양,330000000,330000000,3027,2805,20250321001823,source_verified,explicit_eok
2024,00415558,대지개발,16000000,16000000,382,382,20260331004664,source_verified,next_filing_prior_row_table_unit_million_won
2024,00172936,동일산업,285000000,285000000,2180,2185,20250328001290,source_verified,explicit_decimal_cheonman_won
2024,01336443,디와이씨,140000000,140000000,1385,1298,20250319000619,source_verified,explicit_eok
2024,01113930,보아스에셋,12000000,12000000,180,180,20260330001653,source_verified,next_filing_prior_row_table_unit_million_won
2024,01616482,신한제10호기업인수목적,8000000,8000000,92,92,20250312000860,source_verified,explicit_man_won
2024,01719105,신한제11호기업인수목적,8000000,8000000,100,100,20250312000981,source_verified,explicit_man_won
2024,00684918,아이비케이투자증권,357000000,357000000,3600,3582,20250331003294,source_verified,component_sum_table_unit_million_won
2024,00201131,아즈텍WB,65000000,65000000,1022,1122,20250324000935,source_verified,explicit_man_won
2024,00838500,엘브이엠씨,223326000,223326000,1200,1341,20250425000879,source_verified,explicit_thousand_won_after_note_removal
2024,00254045,우리은행,4162000000,4162000000,37163,33963,20250318001159,source_verified,explicit_million_won_and_actual_hours_component_sum
2024,00927558,유바이오로직스,170000000,170000000,1450,1462,20250318000779,source_verified,explicit_eok
2024,00565154,이노션,6500000,6500000,5947,5884,20250318001237,source_verified,table_unit_million_won
2024,00113191,코리안리,1197000000,1197000000,8705,9005,20250331003380,source_verified,table_unit_thousand_won
2024,01258428,프레스티지바이오로직스,170000000,170000000,1676,1676,20240919000208,source_verified,explicit_eok
2024,01363924,한국미라클피플사,40000000,40000000,500,600,20250321001395,source_verified,explicit_cheonman_won
2023,01328639,윙입푸드,__NULL__,__NULL__,__NULL__,2343,20240412002922,foreign_currency_excluded,RMB_two_components_exclude_from_KRW
2023,01169434,오가닉티코스메틱,__NULL__,__NULL__,__NULL__,1244,20240429000929,foreign_currency_excluded,CNY_exclude_from_KRW
2024,01328639,윙입푸드,__NULL__,__NULL__,__NULL__,2405,20250422000461,foreign_currency_excluded,RMB_two_components_exclude_from_KRW
2024,01170962,GRT,__NULL__,__NULL__,__NULL__,3370,20241018000064,foreign_currency_excluded,RMB_exclude_from_KRW
2024,01169434,오가닉티코스메틱,__NULL__,__NULL__,__NULL__,1252,20250430001271,foreign_currency_excluded,CNY_exclude_from_KRW
2023,01616482,신한제10호기업인수목적,8000000,8000000,107,107,20250312000860,source_verified,later_comparative_explicit_man_won
2023,00192347,메타넷디지털,80000000,80000000,842,842,20250331002192,source_verified,later_comparative_explicit_million_won_reconfirmed_20260331000599
2023,00693299,더존비앤에프,__NULL__,__NULL__,__NULL__,__NULL__,20240401002231,source_conflict_excluded,no_fee_unit_and_time_disclosed_in_days
2024,00693299,더존비앤에프,__NULL__,__NULL__,__NULL__,__NULL__,20250331002768,source_conflict_excluded,million_won_header_conflicts_with_large_cells_and_time_disclosed_in_days
2025,00693299,더존비앤에프,__NULL__,__NULL__,__NULL__,__NULL__,20260331002900,source_conflict_excluded,million_won_header_conflicts_with_history_and_time_disclosed_in_days
2023,00362201,세운메디칼,168000000,__NULL__,1641,1641,20240320001045,partial_source_verified,actual_fee_has_extra_zero_1680000_thousand_won
2023,00414540,대주이엔티,__NULL__,__NULL__,518,518,20240321001616,source_conflict_excluded,no_fee_unit_cell_5_5
2023,00659161,싸이맥스,70000000,__NULL__,1500,1574,20240313001552,partial_source_verified,actual_7000_thousand_won_conflicts_with_contract_70000_and_history
